"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7123","TC018 - Cross browser homepage validation @smoke @e2e","chromium","2026-05-14","passed","2026-05-14","","E2E/e2e.spec.js","",""
"","14819","TC004 - Login with blank password @regression @login","chromium","2026-05-14","passed","2026-05-14","","Login/login.spec.js","",""
"","26113","TC020 - Complete E2E purchase flow - login, add product, checkout @smoke @e2e","chromium","2026-05-14","passed","2026-05-14","","E2E/e2e.spec.js","",""
"","7885","TC012a - Verify Phones category shows phone products @regression @product","chromium","2026-05-14","passed","2026-05-14","","Product/product.spec.js","",""
"","9509","TC006 - Add single product to cart @smoke @product","chromium","2026-05-14","passed","2026-05-14","","Product/product.spec.js","",""
"","8512","TC001 - Valid Login with correct credentials @smoke @login","chromium","2026-05-14","passed","2026-05-14","","Login/login.spec.js","",""
"","18421","TC007 - Add multiple products to cart @regression @product","chromium","2026-05-14","passed","2026-05-14","","Product/product.spec.js","",""
"","4223","TC012 - Verify product categories are visible @regression @product","chromium","2026-05-14","passed","2026-05-14","","Product/product.spec.js","",""
"","22251","TC008 - Remove product from cart @regression @cart","chromium","2026-05-14","passed","2026-05-14","","Cart/cart.spec.js","",""
"","4371","has title","chromium","2026-05-14","passed","2026-05-14","","example.spec.js","",""
"","20352","TC017 - Search/Browse product by category @regression @e2e","chromium","2026-05-14","passed","2026-05-14","","E2E/e2e.spec.js","",""
"","15210","TC002 - Invalid Login with wrong credentials @regression @login","chromium","2026-05-14","passed","2026-05-14","","Login/login.spec.js","",""
"","10576","TC005 - Logout after successful login @smoke @login","chromium","2026-05-14","passed","2026-05-14","","Login/login.spec.js","",""
"","5695","TC012b - Verify Laptops category shows laptop products @regression @product","chromium","2026-05-14","passed","2026-05-14","","Product/product.spec.js","",""
"","11045","TC014 - Verify navigation menu links @regression @e2e","chromium","2026-05-14","passed","2026-05-14","","E2E/e2e.spec.js","",""
"","5042","TC016 - Validate no broken links on homepage @regression @e2e","chromium","2026-05-14","passed","2026-05-14","","E2E/e2e.spec.js","",""
"","5749","TC012c - Verify Monitors category shows monitor products @regression @product","chromium","2026-05-14","passed","2026-05-14","","Product/product.spec.js","",""
"","26309","TC009 - Verify cart total price @regression @cart","chromium","2026-05-14","passed","2026-05-14","","Cart/cart.spec.js","",""
"","5784","TC019 - Parallel execution product browsing @smoke @e2e","chromium","2026-05-14","passed","2026-05-14","","E2E/e2e.spec.js","",""
"","16026","TC009a - Verify cart displays correct product names @regression @cart","chromium","2026-05-14","passed","2026-05-14","","Cart/cart.spec.js","",""
"","6620","TC013 - Verify product details on product page @regression @product","chromium","2026-05-14","passed","2026-05-14","","Product/product.spec.js","",""
"","14995","TC003 - Login with blank username @regression @login","chromium","2026-05-14","passed","2026-05-14","","Login/login.spec.js","",""
"","4209","get started link","chromium","2026-05-14","passed","2026-05-14","","example.spec.js","",""
